time,series_id,torque_trial,speed1,speed2,torque1,torque2
0.14529705047607422,3,0.3,1614,1241,0.25200000000000006,0.24300000000000002
0.1557784080505371,3,0.3,1697,1345,0.24300000000000002,0.29700000000000004
0.16605043411254883,3,0.3,1823,1428,0.28350000000000003,0.2655
0.17627930641174316,3,0.3,1922,1532,0.30150000000000005,0.2745
0.18653297424316406,3,0.3,2048,1631,0.216,0.3375
0.1968669891357422,3,0.3,2180,1713,0.3195,0.25650000000000006
0.20721173286437988,3,0.3,2307,1796,0.324,0.30150000000000005
0.21753883361816406,3,0.3,2406,1796,0.29700000000000004,0.30150000000000005
0.2278914451599121,3,0.3,2406,1884,0.29700000000000004,0.216
0.2384805679321289,3,0.3,2504,1999,0.3375,0.27
0.24872779846191406,3,0.3,2592,2081,0.36900000000000005,0.24750000000000003
0.25891876220703125,3,0.3,2697,2180,0.225,0.21150000000000002
0.2695140838623047,3,0.3,2817,2263,0.28800000000000003,0.2295
0.27981066703796387,3,0.3,2938,2362,0.41400000000000003,0.23850000000000002
0.0,4,0.3,109,82,0.279,0.2745
0.01078653335571289,4,0.3,225,131,0.279,0.2655
0.02107691764831543,4,0.3,362,225,0.28800000000000003,0.25650000000000006
0.03153276443481445,4,0.3,499,340,0.25200000000000006,0.24750000000000003
0.04199624061584473,4,0.3,598,466,0.28800000000000003,0.23850000000000002
0.05218386650085449,4,0.3,714,527,0.234,0.2745
0.06265568733215332,4,0.3,840,637,0.27,0.25200000000000006
0.07297301292419434,4,0.3,950,714,0.2025,0.34650000000000003
0.08327436447143555,4,0.3,1060,802,0.387,0.29250000000000004
0.0937197208404541,4,0.3,1203,917,0.342,0.387
0.10410189628601074,4,0.3,1285,994,0.37350000000000005,0.171
0.11460375785827637,4,0.3,1406,1071,0.261,0.387
0.12475991249084473,4,0.3,1406,1071,0.261,0.387
0.13521265983581543,4,0.3,1505,1175,0.35100000000000003,0.34650000000000003
0.14536309242248535,4,0.3,1625,1279,0.3285,0.34650000000000003
0.15555882453918457,4,0.3,1735,1378,0.279,0.2295
0.16569304466247559,4,0.3,1829,1472,0.24300000000000002,0.333
0.1762540340423584,4,0.3,1966,1560,0.2655,0.216
0.18671536445617676,4,0.3,2087,1658,0.23850000000000002,0.216
0.19700002670288086,4,0.3,2191,1746,0.29250000000000004,0.31050000000000005
0.20725393295288086,4,0.3,2268,1845,0.2025,0.234
0.21737957000732422,4,0.3,2389,1933,0.21150000000000002,0.3375
0.22777700424194336,4,0.3,2466,2010,0.2205,0.24300000000000002
0.2383558750152588,4,0.3,2603,2081,0.21150000000000002,0.2745
0.24898624420166016,4,0.3,2730,2186,0.2655,0.29700000000000004
0.2595045566558838,4,0.3,2845,2257,0.3195,0.29700000000000004
0.2695927619934082,4,0.3,2971,2373,0.2205,0.36900000000000005
0.0,0,0.35,0,0,-0.0,0.009000000000000001
0.01056051254272461,0,0.35,131,98,0.31500000000000006,0.31050000000000005
0.021218061447143555,0,0.35,263,263,0.35100000000000003,0.3195
0.03201913833618164,0,0.35,390,368,0.31500000000000006,0.3285
0.0424346923828125,0,0.35,538,477,0.3285,0.36900000000000005
0.05282998085021973,0,0.35,681,642,0.29700000000000004,0.3285
0.0632619857788086,0,0.35,834,708,0.25650000000000006,0.25200000000000006
0.07354545593261719,0,0.35,961,851,0.333,0.2655
0.08382225036621094,0,0.35,1137,972,0.234,0.40950000000000003
0.09432387351989746,0,0.35,1268,1082,0.2205,0.23850000000000002
0.10505962371826172,0,0.35,1417,1203,0.2745,0.28350000000000003
0.11590003967285156,0,0.35,1549,1318,0.27,0.28350000000000003
0.12615466117858887,0,0.35,1669,1439,0.279,0.3915
0.13653254508972168,0,0.35,1801,1554,0.31500000000000006,0.28800000000000003
0.14698433876037598,0,0.35,1944,1658,0.30150000000000005,0.2655
0.15736007690429688,0,0.35,2059,1790,0.36900000000000005,0.405
0.16756916046142578,0,0.35,2219,1906,0.28800000000000003,0.30150000000000005
0.17819881439208984,0,0.35,2362,2005,0.2655,0.29250000000000004
0.18839359283447266,0,0.35,2532,2125,0.2655,0.405
0.19900035858154297,0,0.35,2675,2235,0.41850000000000004,0.27
0.20934486389160156,0,0.35,2779,2356,0.42750000000000005,0.31500000000000006
0.21978378295898438,0,0.35,2905,2499,0.2745,0.342
0.0,1,0.35,0,0,-0.0,0.0
0.010417699813842773,1,0.35,126,93,0.30150000000000005,0.3195
0.020508289337158203,1,0.35,241,186,0.3195,0.31500000000000006
0.030885934829711914,1,0.35,379,318,0.29250000000000004,0.35100000000000003
0.04119229316711426,1,0.35,516,483,0.34650000000000003,0.324
0.05146360397338867,1,0.35,664,598,0.3195,0.34650000000000003
0.061774253845214844,1,0.35,823,703,0.4005,0.36450000000000005
0.0721433162689209,1,0.35,939,807,0.35550000000000004,0.3195
0.08259391784667969,1,0.35,1065,961,0.25650000000000006,0.4455
0.09292292594909668,1,0.35,1208,1071,0.27,0.25650000000000006
0.10319805145263672,1,0.35,1351,1213,0.333,0.324
0.11365365982055664,1,0.35,1483,1312,0.25200000000000006,0.30150000000000005
0.12406182289123535,1,0.35,1636,1433,0.30150000000000005,0.3375
0.13436102867126465,1,0.35,1796,1543,0.279,0.25650000000000006
0.14460039138793945,1,0.35,1933,1669,0.29250000000000004,0.3375
0.1550276279449463,1,0.35,2092,1774,0.25200000000000006,0.36900000000000005
0.16541433334350586,1,0.35,2224,1911,0.3375,0.3915
0.1756124496459961,1,0.35,2367,2043,0.2295,0.3195
0.18581390380859375,1,0.35,2493,2169,0.342,0.29250000000000004
0.19598388671875,1,0.35,2598,2279,0.25650000000000006,0.36000000000000004
0.2062523365020752,1,0.35,2598,2279,0.25650000000000006,0.36000000000000004
0.2170543670654297,1,0.35,2757,2395,0.41400000000000003,0.3195
0.2272648811340332,1,0.35,2916,2515,0.41850000000000004,0.234
0.0,2,0.35,0,0,-0.0,0.0
0.010536432266235352,2,0.35,142,120,0.29700000000000004,0.3195
0.020756244659423828,2,0.35,280,203,0.3285,0.31500000000000006
0.03148460388183594,2,0.35,428,285,0.3375,0.34650000000000003
0.04186439514160156,2,0.35,587,390,0.342,0.342
0.05214715003967285,2,0.35,714,538,0.324,0.378
0.0625145435333252,2,0.35,834,626,0.30600000000000005,0.2655
0.07309937477111816,2,0.35,983,802,0.3825,0.35550000000000004
0.08372807502746582,2,0.35,1126,884,0.21150000000000002,0.21150000000000002
0.09406757354736328,2,0.35,1285,999,0.23850000000000002,0.3195
0.1044464111328125,2,0.35,1395,1148,0.36000000000000004,0.34650000000000003
0.11472821235656738,2,0.35,1549,1241,0.29700000000000004,0.3285
0.12489914894104004,2,0.35,1680,1356,0.27,0.261
0.13513922691345215,2,0.35,1807,1488,0.31500000000000006,0.324
0.1455063819885254,2,0.35,1999,1609,0.3375,0.3825
0.15609383583068848,2,0.35,2109,1724,0.29700000000000004,0.30600000000000005
0.16646838188171387,2,0.35,2246,1856,0.3915,0.36450000000000005
0.17707586288452148,2,0.35,2373,1961,0.28800000000000003,0.27
0.18766999244689941,2,0.35,2493,1961,0.30150000000000005,0.27
0.19823575019836426,2,0.35,2493,2092,0.30150000000000005,0.324
